Space ID,Carshare Organization,Address Range,Street,Address,Approval Status,Operational Date,Intersection,CNN Segment ID,CNN Intersection ID,Pod Type,Zipcode,Neighborhood,Price Zone,Supervisor District,Geom
Z175,Zipcar,700 - 799,CAPP ST,780 Capp St,approved,01/08/2015,Capp St & 23rd St,3679000,24076000,Double,94110,Mission,1,9,"(37.7540589479, -122.417610009)"
Z020,Zipcar,1500 - 1578,EVANS AVE,1530 Evans Ave,approved,01/29/2015,Evans Ave & Newhall St,5333101,20236000,Double,94124,India Basin,3,10,"(37.7423235225, -122.387001195)"
Z007,Zipcar,1700 - 1799,25TH AVE,1779 25th Ave,approved,12/03/2014,25th Ave & Noriega St,1386000,27384000,Double,94122,Outer Sunset,3,4,"(37.7543233984, -122.482992169)"
C043,City CarShare,2451 - 2499,CLAY ST,2490 Clay St,approved,09/30/2011,Clay St & Fillmore St,4111000,26648000,Double,94115,Pacific Heights,1,2,"(37.7907896686, -122.434078788)"
Z181,Zipcar,700 - 799,ULLOA ST,786 Ulloa St,approved,08/10/2015,Ulloa St & Claremont Ave,12783000,22875000,Single,94127,Laguna Honda,2,7,"(37.7407158643, -122.464653968)"
Z153,Zipcar, , ,207 Brannan St,approved,06/23/2015,Brannan St & Delancey St,3072000,23600000,Double,94107,South Beach,1,6,"(37.7833891553, -122.390242137)"
Z126,Zipcar,1600 - 1699,REVERE AVE,1620 Revere Ave,approved,01/29/2015,Revere Ave & 3rd St,10978000,20498000,Double,94124,Bayview,3,10,"(37.7322919846, -122.391124315)"
E002,Enterprise,2301 - 2499,03RD ST,2475 3rd St,approved,06/08/2015,3rd St & 22nd St,190201,23555000,Double,94107,Dogpatch,1,10,"(37.7584238349, -122.388225108)"
C109,City CarShare,1 - 99,HENRY ST,3 Henry St,approved,01/08/2015,Henry St & Sanchez St,6880000,25976000,Double,94114,Duboce Triangle,1,8,"(37.7667322965, -122.431288574)"
G144,Getaround,300 - 399, SANCHEZ ST,"300 Sanchez St
",approved,12/14/2014,Sanchez St & 16th St,11512000,25797000,Single,94114,Mission Dolores,1,8,"(37.7642389304, -122.430789229)"
G036,Getaround,2800 - 2899,LAGUNA ST,"2860 Laguna Street
",approved,11/01/2014,Laguna St & Union St,7977000,26583000,Single,94123,Union Street,1,2,"(37.7975568071, -122.430458025)"
Z008,Zipcar,1300 - 1399,31ST AVE,1391 34th Ave,approved,11/17/2014,34th Ave & Judah St,1747000,27725000,Double,94122,Outer Sunset,3,4,"(37.7612872876, -122.493154312)"
C135,City CarShare,1500 - 1532,TAYLOR ST,1505 Taylor St,approved,06/10/2015,Taylor St & Pacific Ave,12447000,25130000,Double,94133,Russian Hill,1,3,"(37.7962299483, -122.413490009)"
G234,Getaround, ,LOMBARD ST,1285 Lombard St,approved,07/31/2015,Lombard St & Polk St,8451000,26691000,Double,94109,Russian Hill,1,2,"(37.8016390836, -122.42261831)"
G014,Getaround,1132 - 1199,GREEN ST,"1204 Green Street
",approved,01/16/2015,Green St & Hyde St,6463000,25311000,Single,94109,Russian Hill,1,3,"(37.7982465453, -122.418704971)"
Z093,Zipcar,700 - 799,33RD AVE,715 33rd Ave,approved,12/02/2014,33rd Ave & Balboa St,1724000,27846000,Double,94121,Outer Richmond,3,1,"(37.7756847024, -122.493086027)"
Z125,Zipcar,2660 - 2899,NEWHALL ST,2770 Newhall St,approved,01/29/2015,Newhall St & Egbert Ave,9582003,20608000,Double,94124,Bayview,3,10,"(37.7269241844, -122.399305397)"
C076,City CarShare,730 - 799, COLE ST,799 Cole St,approved,06/08/2015,Cole St & Frederick St,4241000,26410000,Single,94117,Cole Valley,2,5,"(37.7668820389, -122.450235496)"
Z128,Zipcar,1500 - 1578,EVANS AVE,1530 Evans Ave,approved,01/29/2015,Evans Ave & Newhall St,5333101,20236000,Double,94124,India Basin,3,10,"(37.742363195, -122.387076174)"
Z015,Zipcar,1 - 99,EXCELSIOR AVE,23 Excelsior Ave,approved,09/03/2015,Excelsior St & Mission St,5359000,21768000,Double,94112,Excelsior,3,11,"(37.7262067969, -122.433441324)"
Z060,Zipcar,600 - 699,GROVE ST,516 Ivy St,approved,01/05/2015,Ivy St & Laguna St,7352000,25935000,Double,94102,Hayes Valley,1,5,"(37.7769285186, -122.426631559)"
Z141,Zipcar,1 - 99,BEAVER ST,5 Beaver St,approved,07/22/2015,Beaver St & Noe St,2875000,25809000,Double,94114,Duboce Triangle,1,8,"(37.7649819452, -122.433544817)"
G003,Getaround,800 - 899,HAIGHT ST,"888 Haight Street
",approved,02/28/2015,Haight St & Divisadero St,6611000,26026000,Single,94117,Lower Haight,1,5,"(37.7713516573, -122.436856569)"
C053,City CarShare,500 - 599,VALENCIA ST,590 Valencia St,approved,09/30/2011,Valencia St & 17th St,13060000,24174000,Single,94110,Mission Dolores,1,8,"(37.763419948, -122.421860008)"
Z154,Zipcar, , ,207 Brannan St,approved,06/23/2015,Brannan St & Delancey St,3072000,23600000,Double,94107,South Beach,1,6,"(37.7834033083, -122.390224138)"
C074,City CarShare,500 - 599,BARTLETT ST,501 Bartlett St,approved,08/16/2015,Barlett St & 26th St,2747000,21342000,Single,94110,Mission,2,9,"(37.7488297841, -122.419305651)"
Z135,Zipcar,300 - 423,ANDOVER ST,351 Andover St,approved,12/11/2014,Andover St & Cortland Ave,2278000,21213000,Double,94110,Bernal Heights,2,9,"(37.7388479565, -122.416396668)"
C047,City CarShare,1500 - 1532,TAYLOR ST,1505 Taylor St,approved,09/30/2011,Taylor St & Pacific Ave,12447000,25130000,Double,94133,Russian Hill,1,3,"(37.7962719486, -122.413506009)"
Z074,Zipcar,4148 - 4199,20TH ST,4184 20th St,approved,12/03/2014,20th St & Castro St,1066000,25756000,Double,94114,Eureka Valley,1,8,"(37.7577518752, -122.434416315)"
Z193,Zipcar,1400 - 1499,HAYES ST,1490 Hayes St,approved,01/12/2015,Hayes St & Baker St,6826000,26351000,Double,94117,Panhandle,1,5,"(37.7746804247, -122.44071018)"
Z052,Zipcar,700 - 799,SCOTT ST,770 Scott St,approved,06/23/2015,Scott St & Fulton St,11689000,26055000,Double,94117,Alamo Square,1,5,"(37.7768160848, -122.436401593)"
Z182,Zipcar,2400 - 2499,22ND AVE,2401 22nd Ave,approved,12/30/2014,22nd Ave & Taraval St,1151000,23199000,Single,94116,Parkside,3,4,"(37.7427097465, -122.479000108)"
C075,City CarShare,1400 - 1499,JUDAH ST,1400 21st Ave,approved,12/28/2014,21st Ave & Judah St,1081000,27370000,Double,94122,Outer Sunset,2,4,"(37.7614067527, -122.479047695)"
G029,Getaround,200 - 230,FILLMORE ST,200 Fillmore St,approved,02/28/2015,Fillmore St & Waller St,5532000,25895000,Single,94117,Lower Haight,1,5,"(37.771266103, -122.430365676)"
Z177,Zipcar,1900 - 1949,15TH ST,1901 15th St,approved,07/22/2015,15th St & Dolores St,659000,25840000,Double,94114,Mission Dolores,1,8,"(37.7661859481, -122.426880008)"
G153,Getaround,650 - 699,STANYAN ST,"678 Stanyan Street
",approved,01/22/2015,Stanyan St & Haight St,12090000,26434000,Single,94117,Haight Ashbury,2,5,"(37.7694102437, -122.45349485)"
