type	latitude	longitude	eos	name	desc	TAZ
T	37.708329318	-122.415330387		TAZ981999		1
T	37.708329519	-122.415233581				
T	37.708329747	-122.414374374				
T	37.708329506	-122.414220504				
T	37.708329031	-122.413594673				
T	37.708328691	-122.413340537				
T	37.708328474	-122.412360307				
T	37.708614510	-122.412232822				
T	37.709210433	-122.411968087				
T	37.710604600	-122.411348710				
T	37.710866230	-122.412280372				
T	37.711036286	-122.412888113				
T	37.710426154	-122.413161126				
T	37.710631113	-122.413902885				
T	37.710835780	-122.414641184				
T	37.710055079	-122.414992776				
T	37.709466020	-122.415257671				
T	37.709695032	-122.415955097				
T	37.709565024	-122.416010529				
T	37.709420004	-122.415996419				
T	37.709243203	-122.415952092				
T	37.708995430	-122.415964732				
T	37.708908945	-122.415962503				
T	37.708328167	-122.416224137				
T	37.708329318	-122.415330387				

type	latitude	longitude	eos	name	desc	TAZ
T	37.708202370	-122.468943916		TAZ981999 2		2
T	37.708203080	-122.468634482				
T	37.708203109	-122.468612007				
T	37.708208167	-122.466624020				
T	37.708210095	-122.465768313				
T	37.708212654	-122.464812349				
T	37.708207392	-122.464345442				
T	37.708202835	-122.463939044				
T	37.708187389	-122.462764785				
T	37.708187551	-122.462590179				
T	37.708187619	-122.462235780				
T	37.708193754	-122.462094181				
T	37.708199921	-122.461950851				
T	37.708194484	-122.461390576				
T	37.708198909	-122.461228187				
T	37.708202671	-122.461084792				
T	37.708193104	-122.460029966				
T	37.708200585	-122.459848643				
T	37.708205682	-122.459727757				
T	37.708219500	-122.459062537				
T	37.708230838	-122.458504438				
T	37.708444585	-122.458824704				
T	37.709541522	-122.460442414				
T	37.709673617	-122.460613588				
T	37.710028225	-122.460619481				
T	37.710322038	-122.460482011				
T	37.710585932	-122.460903891				
T	37.710582387	-122.461488149				
T	37.710567309	-122.462557923				
T	37.710562750	-122.462893201				
T	37.710548245	-122.464175625				
T	37.710526910	-122.464363511				
T	37.710481384	-122.464766854				
T	37.710153925	-122.465994329				
T	37.709825748	-122.466791284				
T	37.709634142	-122.467161379				
T	37.709608057	-122.467202178				
T	37.709282173	-122.467717385				
T	37.708936282	-122.468155998				
T	37.708710360	-122.468442185				
T	37.708682448	-122.468469114				
T	37.708227513	-122.468918654				
T	37.708202370	-122.468943916				

type	latitude	longitude	eos	name	desc	TAZ
T	37.709678361	-122.423971202		TAZ981999 3		3
T	37.709574045	-122.423819826				
T	37.709250999	-122.423353328				
T	37.709250998	-122.423353328				
T	37.709234036	-122.423361542				
T	37.708341923	-122.423763734				
T	37.708332756	-122.420158972				
T	37.708332424	-122.420074253				
T	37.708420209	-122.420034779				
T	37.709946758	-122.419348352				
T	37.709709516	-122.418503753				
T	37.709470317	-122.417652191				
T	37.710091274	-122.417389871				
T	37.709954306	-122.416881511				
T	37.710473165	-122.416647671				
T	37.710691838	-122.417515997				
T	37.710732454	-122.417847260				
T	37.710717147	-122.418576432				
T	37.710731815	-122.418772169				
T	37.710781932	-122.419489207				
T	37.711013199	-122.420952597				
T	37.711316654	-122.422241527				
T	37.710970872	-122.422410662				
T	37.710510759	-122.422810226				
T	37.710377432	-122.423026333				
T	37.710301798	-122.423368413				
T	37.710265166	-122.424181749				
T	37.710101873	-122.424550954				
T	37.709678361	-122.423971202				

type	latitude	longitude	eos	name	desc	TAZ
T	37.710322038	-122.460482011		TAZ981999 4		4
T	37.710028225	-122.460619481				
T	37.709673617	-122.460613588				
T	37.709541522	-122.460442414				
T	37.708444585	-122.458824704				
T	37.708230838	-122.458504438				
T	37.708243038	-122.457915235				
T	37.708234599	-122.457183735				
T	37.708219830	-122.455902300				
T	37.708217490	-122.455732818				
T	37.708215470	-122.455565069				
T	37.708221158	-122.454560786				
T	37.708222022	-122.454322234				
T	37.708256002	-122.454281639				
T	37.708807905	-122.452660688				
T	37.708869882	-122.452878419				
T	37.709166920	-122.453249279				
T	37.709678614	-122.453886831				
T	37.710207092	-122.454547307				
T	37.710478594	-122.454884660				
T	37.710696554	-122.455158363				
T	37.711067609	-122.455621084				
T	37.710875545	-122.456207298				
T	37.710832149	-122.456339279				
T	37.710648411	-122.457312983				
T	37.710599602	-122.458307518				
T	37.710594388	-122.459488180				
T	37.710585932	-122.460903891				
T	37.710322038	-122.460482011				

type	latitude	longitude	eos	name	desc	TAZ
T	37.708331621	-122.419719104		TAZ981999 5		5
T	37.708331592	-122.419704270				
T	37.708331640	-122.419237507				
T	37.708331153	-122.419119929				
T	37.708330411	-122.419017917				
T	37.708327468	-122.418165551				
T	37.708326979	-122.418047983				
T	37.708326927	-122.417207781				
T	37.708327064	-122.417093690				
T	37.708328167	-122.416224137				
T	37.708908945	-122.415962503				
T	37.708995430	-122.415964732				
T	37.709243203	-122.415952092				
T	37.709420004	-122.415996419				
T	37.709565024	-122.416010529				
T	37.709695032	-122.415955097				
T	37.709466020	-122.415257671				
T	37.710055079	-122.414992776				
T	37.710835780	-122.414641184				
T	37.710631113	-122.413902885				
T	37.710426154	-122.413161126				
T	37.711036286	-122.412888113				
T	37.711655120	-122.415080679				
T	37.711914514	-122.416000196				
T	37.710473165	-122.416647671				
T	37.709954306	-122.416881511				
T	37.710091274	-122.417389871				
T	37.709470317	-122.417652191				
T	37.709709516	-122.418503753				
T	37.709946758	-122.419348352				
T	37.708420209	-122.420034779				
T	37.708332424	-122.420074253				
T	37.708331621	-122.419719104				

type	latitude	longitude	eos	name	desc	TAZ
T	37.708327391	-122.408299370		TAZ981999 6		6
T	37.708327348	-122.408110927				
T	37.708342072	-122.407753446				
T	37.708343682	-122.407314381				
T	37.708343738	-122.407290176				
T	37.708342334	-122.406591715				
T	37.708342153	-122.406475874				
T	37.708344075	-122.406251186				
T	37.708350034	-122.405521796				
T	37.708354979	-122.405343854				
T	37.708856675	-122.405107766				
T	37.709359940	-122.404838868				
T	37.709717215	-122.404637113				
T	37.710360695	-122.404254230				
T	37.710409218	-122.404226085				
T	37.710682771	-122.405209890				
T	37.710957139	-122.406185067				
T	37.711190259	-122.407013979				
T	37.711447770	-122.407926511				
T	37.711701694	-122.408826847				
T	37.711952152	-122.409728830				
T	37.712206211	-122.410641284				
T	37.710604600	-122.411348710				
T	37.709210433	-122.411968087				
T	37.708614510	-122.412232822				
T	37.708328474	-122.412360307				
T	37.708327391	-122.408299370				

type	latitude	longitude	eos	name	desc	TAZ
T	37.711013199	-122.420952597		TAZ981999 7		7
T	37.710781932	-122.419489207				
T	37.710731815	-122.418772169				
T	37.710717147	-122.418576432				
T	37.710732454	-122.417847260				
T	37.710691838	-122.417515997				
T	37.710473165	-122.416647671				
T	37.711914514	-122.416000196				
T	37.712118137	-122.416738495				
T	37.712302276	-122.417576566				
T	37.712335436	-122.418028654				
T	37.712349146	-122.418283151				
T	37.711933370	-122.418765153				
T	37.711985987	-122.419392362				
T	37.711965676	-122.419732429				
T	37.712215846	-122.421320809				
T	37.712185379	-122.421631226				
T	37.712060474	-122.421878674				
T	37.712018244	-122.421962305				
T	37.711717594	-122.422122229				
T	37.711316654	-122.422241527				
